# real,imag
-3.138566779887320968e-02,-1.384038437906472685e-01
-3.155974957843094703e-02,-1.377653127206284744e-01
-3.173160990682333260e-02,-1.371317966392931464e-01
-3.190128609933729625e-02,-1.365032351863510462e-01
-3.206881469579856564e-02,-1.358795689392451322e-01
-3.223423147970092689e-02,-1.352607393955613246e-01
-3.239757149678471060e-02,-1.346466889558259050e-01
-3.255886907309512440e-02,-1.340373609066678462e-01
-3.271815783252567111e-02,-1.334326994043401049e-01
-3.287547071386994618e-02,-1.328326494586020701e-01
-3.303083998739978627e-02,-1.322371569169280558e-01
-3.318429727096650766e-02,-1.316461684490759509e-01
-3.333587354567720679e-02,-1.310596315319635941e-01
-3.348559917115737083e-02,-1.304774944348491839e-01
-3.363350390013605806e-02,-1.298997062049553897e-01
-3.377961689330863382e-02,-1.293262166530895207e-01
-3.392396673287238762e-02,-1.287569763399728784e-01
-3.406658143639838127e-02,-1.281919365625306673e-01
-3.420748847001633952e-02,-1.276310493406279667e-01
-3.434671476132823004e-02,-1.270742674040405695e-01
-3.448428671194437439e-02,-1.265215441796940787e-01
-3.462023020969416665e-02,-1.259728337791829189e-01
-3.475457064050582051e-02,-1.254280909865373994e-01
-3.488733289996978626e-02,-1.248872712462479190e-01
-3.501854140459744608e-02,-1.243503306515348489e-01
-3.514822010277474790e-02,-1.238172259328614300e-01
-3.527639248543070621e-02,-1.232879144466819954e-01
-3.540308159642593933e-02,-1.227623541644193988e-01
-3.552831004266431697e-02,-1.222405036616722313e-01
-3.565210000394578721e-02,-1.217223221076381146e-01
-3.577447324255651762e-02,-1.212077692547474383e-01
-3.589545111261673027e-02,-1.206968054285210840e-01
-3.601505456917811210e-02,-1.201893915176212163e-01
-3.613330417709516296e-02,-1.196854889641050107e-01
-3.625022011966314711e-02,-1.191850597538813006e-01
-3.636582220704105695e-02,-1.186880664073517028e-01
-3.648012988444918059e-02,-1.181944719702399671e-01
-3.659316224016919555e-02,-1.177042400046118681e-01
-3.670493801333871847e-02,-1.172173345800607558e-01
-3.681547560153956150e-02,-1.167337202650819694e-01
-3.692479306821239843e-02,-1.162533621186107591e-01
-3.703290814986753832e-02,-1.157762256817299884e-01
-3.713983826313254494e-02,-1.153022769695386529e-01
-3.724560051160741292e-02,-1.148314824631840453e-01
-3.735021169256299428e-02,-1.143638091020500458e-01
-3.745368830347216987e-02,-1.138992242760938078e-01
-3.755604654836219858e-02,-1.134376958183389017e-01
-3.765730234404764815e-02,-1.129791919975085129e-01
-3.775747132616531082e-02,-1.125236815108052318e-01
-3.785656885510393227e-02,-1.120711334768277334e-01
-3.795461002175453541e-02,-1.116215174286332990e-01
-3.805160965316074090e-02,-1.111748033069202279e-01
-3.814758231796872012e-02,-1.107309614533482367e-01
-3.824254233191107244e-02,-1.102899626040165643e-01
-3.833650376263048054e-02,-1.098517778829121994e-01
-3.842948043557411347e-02,-1.094163787958564032e-01
-3.852148593810799521e-02,-1.089837372240538699e-01
-3.861253362492549079e-02,-1.085538254181893786e-01
-3.870263662261370224e-02,-1.081266159924213072e-01
-3.879180783431695340e-02,-1.077020819185433437e-01
-3.888005994426481371e-02,-1.072801965202608288e-01
-3.896740542219606640e-02,-1.068609334675851980e-01
-3.905385652767931481e-02,-1.064442667712915125e-01
-3.913942531432190730e-02,-1.060301707775195695e-01
-3.922412363390555962e-02,-1.056186201624605275e-01
-3.930796314039260858e-02,-1.052095899271415363e-01
-3.939095529387189043e-02,-1.048030553923084557e-01
-3.947311136439191764e-02,-1.043989921934046772e-01
-3.955444243571495239e-02,-1.039973762756415954e-01
-3.963495940899018632e-02,-1.035981838891597007e-01
-3.971467300632815917e-02,-1.032013915842781571e-01
-3.979359377431076344e-02,-1.028069762068319626e-01
-3.987173208740997510e-02,-1.024149148935910997e-01
-3.994909815133488445e-02,-1.020251850677728056e-01
-4.002570200629920749e-02,-1.016377644346178888e-01
-4.010155353022059471e-02,-1.012526309770688249e-01
-4.017666244184646407e-02,-1.008697629515071109e-01
-4.025103830380770409e-02,-1.004891388835780774e-01
-4.032469052560691547e-02,-1.001107375640858110e-01
-4.039762836654041400e-02,-9.973453804496794362e-02
-4.046986093855247518e-02,-9.936051963533179543e-02
-4.054139720903298522e-02,-9.898866189757261902e-02
-4.061224600354652187e-02,-9.861894464355330792e-02
-4.068241600850621559e-02,-9.825134793085661677e-02
-4.075191577378924762e-02,-9.788585205909741682e-02
-4.082075371529306218e-02,-9.752243756630725458e-02
-4.088893811743530421e-02,-9.716108522538030590e-02
-4.095647713560492814e-02,-9.680177604057670082e-02
-4.102337879855617181e-02,-9.644449124409477936e-02
-4.108965101074865678e-02,-9.608921229269933029e-02
-4.115530155464407897e-02,-9.573592086440561866e-02
-4.122033809295023304e-02,-9.538459885523385695e-02
-4.128476817081905281e-02,-9.503522837599467921e-02
-4.134859921802178789e-02,-9.468779174917986430e-02
-4.141183855087294391e-02,-9.434227150574799048e-02
-4.147449337468261249e-02,-9.399865038236354664e-02
-4.153657078538056796e-02,-9.365691131811122727e-02
-4.159807777165835940e-02,-9.331703745171654463e-02
-4.165902121690196608e-02,-9.297901211864398330e-02
-4.171940790105652108e-02,-9.264281884825888158e-02
-4.177924450248823862e-02,-9.230844136103755204e-02
-4.183853759980878106e-02,-9.197586356582967970e-02
-4.189729367363232565e-02,-9.164506955717256764e-02
-4.195551910833088954e-02,-9.131604361263707947e-02
-4.201322019372732280e-02,-9.098877019023227097e-02
-4.207040312677504806e-02,-9.066323392584077490e-02
-4.212707401318185885e-02,-9.033941963070650505e-02
-4.218323886902534264e-02,-9.001731228896296677e-02
-4.223890362230525719e-02,-8.969689705520335343e-02
-4.229407411449532389e-02,-8.937815925207771850e-02
-4.234875610203937824e-02,-8.906108436795197314e-02
-4.240295525783293468e-02,-8.874565805458810297e-02
-4.245667717266553981e-02,-8.843186612487587139e-02
-4.250992735664083783e-02,-8.811969455058318856e-02
-4.256271124055896471e-02,-8.780912946017158105e-02
-4.261503417728716714e-02,-8.750015713661662975e-02
-4.266690144308498550e-02,-8.719276401528283649e-02
-4.271831823891442809e-02,-8.688693668183376795e-02
-4.276928969172353462e-02,-8.658266187016475102e-02
-4.281982085569670249e-02,-8.627992646037636881e-02
-4.286991671349114907e-02,-8.597871747678507981e-02
-4.291958217744498011e-02,-8.567902208595430669e-02
-4.296882209075333914e-02,-8.538082759476919859e-02
-4.301764122864058792e-02,-8.508412144852578463e-02
