time, input_signal, output_signal
0.,0,0.
0.1,0,0.
0.2,0,0.
0.30000000000000004,0,0.
0.4,0,0.
0.5,0,0.
0.6000000000000001,0,0.
0.7000000000000001,0,0.
0.8,0,0.
0.9,0,0.
1.,1,0.
1.1,1,0.09516258196404048
1.2000000000000002,1,0.1812692469220183
1.3,1,0.2591817793182821
1.4000000000000001,1,0.3296799539643608
1.5,0,0.3934693402873666
1.6,0,0.35602578194193313
1.7000000000000002,0,0.3221454492865723
1.8,0,0.2914892565644963
1.9000000000000001,0,0.2637503862950402
2.,0,0.2386512185411911
2.1,0,0.2159405523959469
2.2,0,0.19539109187920745
2.3000000000000003,0,0.17679717108320891
2.4000000000000004,0,0.15997269579899265
2.5,0,0.14474928102301254
2.6,0,0.13097456570342414
2.7,0,0.11851068785946739
2.8000000000000003,0,0.10723290481242609
2.9000000000000004,0,0.09702834471897137
3.,0,0.08779487691181709
3.1,0,0.07944008974167349
3.2,0,0.07188036569040068
3.3000000000000003,0,0.06504004449878276
3.4000000000000004,0,0.058850665933222523
3.5,0,0.05325028461271386
3.6,0,0.04818285003864797
3.7,0,0.04359764562258417
3.8000000000000003,0,0.03944878109758576
3.9000000000000004,0,0.035694733233005205
4.,0,0.03229793025603489
4.1000000000000005,0,0.029224375820775972
4.2,0,0.026443308761383566
4.3,0,0.02392689522397795
4.4,0,0.021649950096081172
4.5,0,0.01958968494554547
4.6000000000000005,0,0.017725479946265277
4.7,0,0.01603867750802679
4.800000000000001,0,0.014512395545074441
4.9,0,0.01313135851452174
5.,0,0.01188174453358426
5.1000000000000005,0,0.010751047045531315
5.2,0,0.009727949649861678
5.300000000000001,0,0.008802212843964652
5.4,0,0.007964571542735888
5.5,0,0.007206642350491954
5.6000000000000005,0,0.006520839657127686
5.7,0,0.005900299718781921
5.800000000000001,0,0.005338811963180867
5.9,0,0.0048307568321440675
6.,0,0.0043710495391567905
6.1000000000000005,0,0.00395508917911791
6.2,0,0.0035787126809350145
6.300000000000001,0,0.0032381531421098453
6.4,0,0.0029300021283117372
6.5,0,0.0026511755606214438
6.6000000000000005,0,0.0023988828490326686
6.7,0,0.0021705989632895273
6.800000000000001,0,0.0019640391615343145
6.9,0,0.0017771361238442251
7.,0,0.0016080192617976552
7.1000000000000005,0,0.001454995996997166
7.2,0,0.0013165348211755523
7.300000000000001,0,0.0011912499683469635
7.4,0,0.001077887545594458
7.5,0,0.000975312983688803
7.6000000000000005,0,0.0008824996819378761
7.7,0,0.0007985187336222443
7.800000000000001,0,0.0007225296291840655
7.9,0,0.0006537718441254059
8.,0,0.0005915572274231007
8.1,0,0.0005352631142819808
8.200000000000001,0,0.00048432609429671647
8.3,0,0.0004382363726509464
8.4,0,0.00039653266791894737
8.5,0,0.0003587975954066902
8.6,0,0.000324653489825355
8.700000000000001,0,0.00029375862548997045
8.8,0,0.00026580379621410355
8.9,0,0.00024050922067053726
9.,0,0.00021762174224526643
9.1,0,0.0001969122953616731
9.200000000000001,0,0.00017817361291461165
9.3,0,0.00016121815187186694
9.4,0,0.0001458762162802607
9.5,0,0.00013199425889187655
9.600000000000001,0,0.00011943334441133491
9.700000000000001,0,0.00010806775898453136
9.8,0,0.00009778375201241474
9.9,0,0.00008847839769676735
10.,0,0.00008005856492399044
10.100000000000001,0,0.00007243998517747485
10.200000000000001,0,0.00006554640915046317
10.3,0,0.000059308843617378315
10.4,0,0.00005366486092539535
10.5,0,0.00004855797419900387
10.600000000000001,0,0.0000439370719992338
10.700000000000001,0,0.00003975590678395591
10.8,0,0.000035972632045910835
10.9,0,0.00003254938350050196
11.,0,0.00002945190012515475
11.100000000000001,0,0.00002664918126560334
11.200000000000001,0,0.000024113176369078282
11.3,0,0.000021818504246540193
11.4,0,0.000019742199047767528
11.5,0,0.00001786348041277197
11.600000000000001,0,0.000016163545493719234
11.700000000000001,0,0.000014625380770905139
11.8,0,0.00001323359177451966
11.9,0,0.000011974249012558502
12.,0,0.000010834748559451768
12.100000000000001,0,9.803685911635718e-6
12.200000000000001,0,8.870741847522012e-6
12.3,0,8.026579149333912e-6
12.4,0,7.262749153191805e-6
12.5,0,6.571607191641071e-6
12.600000000000001,0,5.94623608363154e-6
12.700000000000001,0,5.380376904895456e-6
12.8,0,4.868366346721942e-6
12.9,0,4.405080035296827e-6
13.,0,3.985881245283096e-6
13.100000000000001,0,3.6065744946078837e-6
13.200000000000001,0,3.263363553718257e-6
13.3,0,2.9528134519729576e-6
13.4,0,2.6718160998084883e-6
13.5,0,2.417559181289164e-6
13.600000000000001,0,2.1874980075109463e-6
13.700000000000001,0,1.97933004908446e-6
13.8,0,1.7909718911246486e-6
13.9,0,1.6205383817080588e-6
14.,0,1.4663237650758276e-6
14.100000000000001,0,1.3267846096232105e-6
14.200000000000001,0,1.2005243603674387e-6
14.3,0,1.0862793625721068e-6
14.4,0,9.829062136423872e-7
14.5,0,8.893703206114267e-7
14.600000000000001,0,8.047355445350846e-7
14.700000000000001,0,7.281548324300502e-7
14.8,0,6.588617383895823e-7
14.9,0,5.961627542738768e-7
15.,0,5.394303672634493e-7
15.100000000000001,0,4.880967807707748e-7
15.200000000000001,0,4.416482307645353e-7
15.3,0,3.996198448819044e-7
15.4,0,3.615909885956725e-7
15.5,0,3.271810565808053e-7
15.600000000000001,0,2.960456624290231e-7
15.700000000000001,0,2.678731928495992e-7
15.8,0,2.423816881647056e-7
15.9,0,2.193160208996403e-7
16.,0,1.9844534204782605e-7
16.1,0,1.7956077091874079e-7
16.2,0,1.6247330436591767e-7
16.3,0,1.4701192518895567e-7
